Method (vs SAM2+LoRA),1%,5%,10%,25%,100%
SAM2(frozen)+Linear (Ours),+7.1 (ns),+11.2 (**),+12.9 (***),+14.9 (***),+19.4 (***)
U-Net,+32.3 (**),+12.0 (**),+10.0 (**),+3.5 (**),+1.8 (*)
U-Net (ImageNet),+18.7 (*),+7.0 (**),+5.4 (**),+1.5 (ns),+0.5 (ns)
DeepLabV3+,+36.8 (**),+15.9 (**),+14.8 (**),+6.2 (***),+2.0 (*)
PSPNet,+31.0 (**),+13.7 (***),+11.8 (***),+6.6 (***),+2.6 (*)
SegFormer,+30.5 (**),+20.6 (***),+15.1 (***),+7.0 (***),+1.8 (*)
DDSNet* (UNet-R50+BndLoss),+30.8 (**),+10.6 (**),+10.9 (*),+4.3 (***),+2.7 (**)
MFF-Metal* (UNet++-R34+MultiLoss),+28.0 (**),+11.3 (***),+7.1 (**),+2.6 (*),+1.5 (ns)
SME-DLV3+* (DLV3+-R50),+26.8 (**),+16.1 (***),+12.9 (***),+6.2 (***),+2.0 (*)
Hybrid-Trans* (UPerNet-MiT-B4),+31.4 (**),+17.9 (***),+16.3 (**),+6.0 (**),+2.3 (*)
